ds,yhat,yhat_lower,yhat_upper
2010-01-01,4160580.226445772,-796038.7613028794,9013046.663706515
2010-01-02,4187599.4234621343,-360352.96925441065,8950457.705703484
2010-01-03,4204355.345819527,-305576.00308757223,9181117.73223708
2010-01-04,4103787.0735127083,-440948.7540769304,8950784.25899957
2010-01-05,4199549.108306076,-387973.13330577576,9254358.629674459
2010-01-06,4294404.496923086,-140110.05088155394,8946670.44151486
2010-01-07,3932816.958285934,-769883.2964561658,8993063.061939834
2010-01-08,4221576.2000200255,-240328.43978775866,9213688.234294903
2010-01-09,4257611.372672273,-522742.859398301,8834092.953136386
2010-01-10,4284663.126844174,-516446.11982672557,8776241.639551388
2010-01-11,4195724.897085364,-602795.2342202143,9063480.599587081
2010-01-12,4304421.722223167,-399186.73271843465,9101379.196310684
2010-01-13,4413402.440349638,-607397.7270683475,8979028.49343207
2010-01-14,4066934.111014935,-648151.0573410263,8925391.66137245
2010-01-15,4371532.7747613555,-437912.7228287147,9365518.435506089
2010-01-16,4423785.31840031,-355981.15013829095,8958597.28608007
2010-01-17,4467032.632158036,-601956.0100976836,9252542.200798152
2010-01-18,4393824.313321829,-594459.8705218696,9654790.685957821
2010-01-19,4517312.7786533795,-155175.9904623263,8964330.870968109
2010-01-20,4639662.112388758,94147.086904367,9266229.360372808
2010-01-21,4304659.943480224,-595100.6113623183,9087497.01851374
2010-01-22,4618365.873613316,-324350.5136271605,9450083.122359505
2010-01-23,4676950.625024529,-262562.79242498905,9149471.648922399
2010-01-24,4723395.503352769,-130651.94323107095,9819145.94531858
2010-01-25,4649961.8667899035,-150091.36209900875,9148930.226511473
2010-01-26,4769597.946146416,113938.92131764171,9751626.390037172
2010-01-27,4884357.887726146,328828.6607332714,9840184.253205465
2010-01-28,4538020.93521589,-5359.316191450202,9301751.508121045
2010-01-29,4836743.984920434,-84668.43600031777,9411051.67869251
2010-01-30,4876901.496082516,13439.255612200743,9625115.024885891
2010-01-31,4901782.270908139,114854.78448310205,9447737.041537384
2010-02-01,4804052.824983393,330687.7410622626,9640487.136314802
2010-02-02,4897154.832149996,49784.706303610714,9356749.566032495
2010-02-03,4983711.761627613,272381.8361428078,9741730.1882496
2010-02-04,4608132.969176026,-126027.07228086238,9548199.08305354
2010-02-05,4877248.9117980935,156331.78899350573,9768010.963123277
2010-02-06,4888131.9796514725,93191.91631117114,9584753.354381328
2010-02-07,4884773.0330738975,201127.32405431767,9646476.749176262
2010-02-08,4760523.982668384,44564.78835577274,9827442.947442258
2010-02-09,4829474.538862519,-197236.81203837434,9770090.28580487
2010-02-10,4894838.896319528,-39132.14664613618,9681183.753227996
2010-02-11,4501541.247782028,-778897.9592502733,8935858.19129099
2010-02-12,4756834.394860245,128069.81147521273,9363788.15245275
2010-02-13,4758106.493902458,19886.120454229997,9687068.87430015
2010-02-14,4749546.498242075,284297.048687092,9471066.564468464
2010-02-15,4624579.021757893,-39384.32309339768,9505227.01510729
