customer_id,last_order_date,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_total,segment
C701897037,2017-07-28,1,274545.7,1,4,4,9,Loyal Customers
C126010453,2017-07-28,1,1255280.88,1,2,2,5,Needs Attention
C456617820,2017-07-28,1,242055.2,1,4,4,9,Loyal Customers
C651951730,2017-07-28,1,2561992.0,1,1,1,3,Needs Attention
C361056506,2017-07-28,1,538901.88,1,4,4,9,Loyal Customers
C204962670,2017-07-28,1,475841.92,1,4,4,9,Loyal Customers
C861848104,2017-07-28,1,1352011.38,1,2,2,5,Needs Attention
C672654092,2017-07-28,1,20040.84,1,5,5,11,Loyal Customers
C134433019,2017-07-28,1,46749.56,1,5,5,11,Loyal Customers
C654116380,2017-07-28,1,2810321.6,1,1,1,3,Needs Attention
C716577517,2017-07-27,1,42979.86,1,5,5,11,Loyal Customers
C297020804,2017-07-26,1,998400.08,1,3,3,7,Needs Attention
C118177974,2017-07-26,1,16275.35,1,5,5,11,Loyal Customers
C768687474,2017-07-26,1,244832.0,1,4,4,9,Loyal Customers
C924663293,2017-07-26,1,3178881.2,1,1,1,3,Needs Attention
C563002383,2017-07-26,1,1648681.2,1,2,2,5,Needs Attention
C105780160,2017-07-26,1,169930.4,1,5,5,11,Loyal Customers
C989053046,2017-07-26,1,1089280.1,1,3,3,7,Needs Attention
C141281020,2017-07-25,1,4709966.96,1,1,1,3,Needs Attention
C723189485,2017-07-25,1,1021370.52,1,3,3,7,Needs Attention
C920688045,2017-07-25,1,8462.31,1,5,5,11,Loyal Customers
C864602839,2017-07-25,1,2705156.96,1,1,1,3,Needs Attention
C451068007,2017-07-24,1,1082090.56,1,3,3,7,Needs Attention
C679738128,2017-07-24,1,1742690.4,1,2,2,5,Needs Attention
C659035766,2017-07-24,1,449043.1,1,4,4,9,Loyal Customers
C690207326,2017-07-24,1,1669786.48,1,2,2,5,Needs Attention
C727754819,2017-07-23,1,627522.94,1,3,3,7,Needs Attention
C968940770,2017-07-23,1,6486702.81,1,1,1,3,Needs Attention
C335276401,2017-07-22,1,501813.76,1,4,4,9,Loyal Customers
C890342605,2017-07-21,1,48256.65,1,5,5,11,Loyal Customers
C289660394,2017-07-21,1,1193471.4,1,2,2,5,Needs Attention
C817530286,2017-07-21,1,1851104.8,1,2,2,5,Needs Attention
C568393838,2017-07-20,1,3890669.58,1,1,1,3,Needs Attention
C106960332,2017-07-20,1,334980.66,1,4,4,9,Loyal Customers
C896836555,2017-07-20,1,129111.45,1,5,5,11,Loyal Customers
C187959182,2017-07-20,1,16829.12,1,5,5,11,Loyal Customers
C264982783,2017-07-20,1,647749.3,1,3,3,7,Needs Attention
C227435290,2017-07-20,1,164359.03,1,5,5,11,Loyal Customers
C722205007,2017-07-20,1,2263439.85,1,1,1,3,Needs Attention
C194335114,2017-07-20,1,1068252.04,1,3,3,7,Needs Attention
C478972423,2017-07-20,1,1899027.92,1,2,2,5,Needs Attention
C379199826,2017-07-20,1,119099.5,1,5,5,11,Loyal Customers
C560325324,2017-07-19,1,241874.2,1,4,4,9,Loyal Customers
C766010415,2017-07-19,1,1287787.54,1,2,2,5,Needs Attention
C144625842,2017-07-19,1,4464044.55,1,1,1,3,Needs Attention
C429263150,2017-07-19,1,1878860.8,1,2,2,5,Needs Attention
C202875697,2017-07-18,1,1093108.96,1,3,3,7,Needs Attention
C947135913,2017-07-18,1,810748.32,1,3,3,7,Needs Attention
C918010985,2017-07-18,1,5669434.26,1,1,1,3,Needs Attention
C537576329,2017-07-18,1,6440117.99,1,1,1,3,Needs Attention
C971931540,2017-07-18,1,1275378.88,1,2,2,5,Needs Attention
C579217088,2017-07-18,1,870359.07,1,3,3,7,Needs Attention
C101056468,2017-07-18,1,571408.54,1,3,3,7,Needs Attention
C845434701,2017-07-17,1,1152641.7,1,2,2,5,Needs Attention
C546234929,2017-07-17,1,1275727.43,1,2,2,5,Needs Attention
C496289622,2017-07-17,1,506220.24,1,4,4,9,Loyal Customers
C519038617,2017-07-17,1,2616945.32,1,1,1,3,Needs Attention
C947371947,2017-07-17,1,3065874.63,1,1,1,3,Needs Attention
C824614322,2017-07-17,1,142190.96,1,5,5,11,Loyal Customers
C294697797,2017-07-17,1,60477.06,1,5,5,11,Loyal Customers
C970356976,2017-07-16,1,429327.6,1,4,4,9,Loyal Customers
C650218808,2017-07-16,1,469728.94,1,4,4,9,Loyal Customers
C746016156,2017-07-15,1,680930.46,1,3,3,7,Needs Attention
C467518746,2017-07-15,1,1226895.78,1,2,2,5,Needs Attention
C521675336,2017-07-15,1,1827496.0,1,2,2,5,Needs Attention
C261715638,2017-07-15,1,4120856.88,1,1,1,3,Needs Attention
C935446202,2017-07-14,1,1247188.92,1,2,2,5,Needs Attention
C740112292,2017-07-14,1,697737.74,1,3,3,7,Needs Attention
C297334516,2017-07-14,1,737093.6,1,3,3,7,Needs Attention
C524076020,2017-07-13,1,701105.1,1,3,3,7,Needs Attention
C958431231,2017-07-13,1,92880.15,1,5,5,11,Loyal Customers
C972993695,2017-07-13,1,1434452.66,1,2,2,5,Needs Attention
C763097321,2017-07-13,1,689556.8,1,3,3,7,Needs Attention
C921119773,2017-07-13,1,5642734.65,1,1,1,3,Needs Attention
C609522187,2017-07-12,1,6328.35,1,5,5,11,Loyal Customers
C746724259,2017-07-12,1,126436.96,1,5,5,11,Loyal Customers
C867317235,2017-07-12,1,3190685.6,1,1,1,3,Needs Attention
C283244121,2017-07-12,1,1457178.8,1,2,2,5,Needs Attention
C800762832,2017-07-12,1,1584468.17,1,2,2,5,Needs Attention
C403837096,2017-07-12,1,1361017.14,1,2,2,5,Needs Attention
C896324145,2017-07-12,1,223801.6,1,4,4,9,Loyal Customers
C981770312,2017-07-11,1,711084.96,1,3,3,7,Needs Attention
C464133584,2017-07-11,1,688026.88,1,3,3,7,Needs Attention
C345705258,2017-07-11,1,111385.38,1,5,5,11,Loyal Customers
C148206698,2017-07-11,1,993295.8,1,3,3,7,Needs Attention
C707602202,2017-07-10,1,1039244.88,1,3,3,7,Needs Attention
C907147395,2017-07-10,1,807989.6,1,3,3,7,Needs Attention
C846850907,2017-07-10,1,40664.65,1,5,5,11,Loyal Customers
C416706979,2017-07-10,1,747612.0,1,3,3,7,Needs Attention
C140138185,2017-07-10,1,5919535.66,1,1,1,3,Needs Attention
C568589532,2017-07-09,1,338460.85,1,4,4,9,Loyal Customers
C839018428,2017-07-08,1,1288030.17,1,2,2,5,Needs Attention
C248687398,2017-07-08,1,201997.4,1,5,5,11,Loyal Customers
C408756482,2017-07-08,1,5848517.01,1,1,1,3,Needs Attention
C708074271,2017-07-08,1,1589259.63,1,2,2,5,Needs Attention
C435716760,2017-07-08,1,4762760.29,1,1,1,3,Needs Attention
C822527348,2017-07-07,1,612163.2,1,3,3,7,Needs Attention
C431859529,2017-07-07,1,2485919.2,1,1,1,3,Needs Attention
C257227981,2017-07-07,1,910302.4,1,3,3,7,Needs Attention
C947331607,2017-07-07,1,2329838.8,1,1,1,3,Needs Attention
C808082902,2017-07-07,1,79706.19,1,5,5,11,Loyal Customers
C205236041,2017-07-07,1,1797339.6,1,2,2,5,Needs Attention
C562921702,2017-07-06,1,4175023.44,1,1,1,3,Needs Attention
C729248702,2017-07-06,1,2489235.28,1,1,1,3,Needs Attention
C378056991,2017-07-06,1,204984.0,1,4,4,9,Loyal Customers
C426073682,2017-07-05,1,2296166.46,1,1,1,3,Needs Attention
C958154857,2017-07-05,1,3571486.8,1,1,1,3,Needs Attention
C303434073,2017-07-05,1,268064.4,1,4,4,9,Loyal Customers
C964412772,2017-07-05,1,16931.46,1,5,5,11,Loyal Customers
C910256183,2017-07-05,1,799555.9,1,3,3,7,Needs Attention
C128920543,2017-07-04,1,86843.64,1,5,5,11,Loyal Customers
C929265964,2017-07-04,1,760415.92,1,3,3,7,Needs Attention
C783641326,2017-07-04,1,1180100.9,1,2,2,5,Needs Attention
C536433494,2017-07-04,1,966318.42,1,3,3,7,Needs Attention
C120615994,2017-07-04,1,278540.48,1,4,4,9,Loyal Customers
C392855489,2017-07-04,1,537691.92,1,4,4,9,Loyal Customers
C983422553,2017-07-03,1,258222.9,1,4,4,9,Loyal Customers
C767268264,2017-07-03,1,120334.5,1,5,5,11,Loyal Customers
C719487607,2017-07-03,1,188877.56,1,5,5,11,Loyal Customers
C359873330,2017-07-03,1,860293.6,1,3,3,7,Needs Attention
C611292445,2017-07-03,1,796881.8,1,3,3,7,Needs Attention
C405725371,2017-07-02,1,1307629.68,1,2,2,5,Needs Attention
C401632106,2017-07-02,1,314784.0,1,4,4,9,Loyal Customers
C834058701,2017-07-02,1,49999.47,1,5,5,11,Loyal Customers
C218814027,2017-07-02,1,7352.04,1,5,5,11,Loyal Customers
C472279775,2017-07-02,1,329065.75,1,4,4,9,Loyal Customers
C156588923,2017-07-01,1,764632.16,1,3,3,7,Needs Attention
C426781785,2017-07-01,1,250829.37,1,4,4,9,Loyal Customers
C493336188,2017-07-01,1,1644777.2,1,2,2,5,Needs Attention
C325080573,2017-06-30,1,1143125.2,1,2,2,5,Needs Attention
C350112235,2017-06-30,1,746420.7,1,3,3,7,Needs Attention
C718031060,2017-06-30,1,16509.46,1,5,5,11,Loyal Customers
C100621736,2017-06-30,1,413717.26,1,4,4,9,Loyal Customers
C589251554,2017-06-29,1,121287.32,1,5,5,11,Loyal Customers
C250457656,2017-06-29,1,3235095.07,1,1,1,3,Needs Attention
C215192830,2017-06-29,1,3879278.55,1,1,1,3,Needs Attention
C502348840,2017-06-28,1,2203488.0,1,2,2,5,Needs Attention
C504395473,2017-06-28,1,104364.72,1,5,5,11,Loyal Customers
C329645907,2017-06-28,1,1728702.8,1,2,2,5,Needs Attention
C485621726,2017-06-28,1,1052155.5,1,3,3,7,Needs Attention
C606214702,2017-06-28,1,530315.73,1,4,4,9,Loyal Customers
C955359780,2017-06-28,1,266512.32,1,4,4,9,Loyal Customers
C261398923,2017-06-27,1,665004.4,1,3,3,7,Needs Attention
C491997659,2017-06-27,1,1266371.65,1,2,2,5,Needs Attention
C866292417,2017-06-27,1,329535.36,1,4,4,9,Loyal Customers
C546390283,2017-06-26,1,861235.68,1,3,3,7,Needs Attention
C483929145,2017-06-26,1,1790079.27,1,2,2,5,Needs Attention
C887230813,2017-06-26,1,26036.14,1,5,5,11,Loyal Customers
C170048892,2017-06-26,1,942.33,1,5,5,11,Loyal Customers
C513054072,2017-06-26,1,451026.48,1,4,4,9,Loyal Customers
C272222173,2017-06-25,1,1120036.5,1,2,2,5,Needs Attention
C116246354,2017-06-25,1,2229615.52,1,1,1,3,Needs Attention
C265964257,2017-06-25,1,392205.92,1,4,4,9,Loyal Customers
C230699431,2017-06-24,1,649181.39,1,3,3,7,Needs Attention
C349245774,2017-06-24,1,5496212.4,1,1,1,3,Needs Attention
C536275136,2017-06-24,1,1170458.8,1,2,2,5,Needs Attention
C669383943,2017-06-24,1,210630.55,1,4,4,9,Loyal Customers
C519902074,2017-06-23,1,447548.4,1,4,4,9,Loyal Customers
C368137538,2017-06-23,1,730094.09,1,3,3,7,Needs Attention
C563471448,2017-06-23,1,658111.84,1,3,3,7,Needs Attention
C858932006,2017-06-22,1,484086.79,1,4,4,9,Loyal Customers
C297725903,2017-06-22,1,209719.18,1,4,4,9,Loyal Customers
C310359752,2017-06-21,1,782754.42,1,3,3,7,Needs Attention
C794778287,2017-06-21,1,66999.4,1,5,5,11,Loyal Customers
C108885943,2017-06-21,1,128562.5,1,5,5,11,Loyal Customers
C339602696,2017-06-21,1,995382.3,1,3,3,7,Needs Attention
C314689052,2017-06-20,1,1522528.98,1,2,2,5,Needs Attention
C715944087,2017-06-20,1,214132.6,1,4,4,9,Loyal Customers
C445633208,2017-06-20,1,1057565.04,1,3,3,7,Needs Attention
C389548003,2017-06-20,1,727196.28,1,3,3,7,Needs Attention
C100935447,2017-06-19,1,1216611.82,1,2,2,5,Needs Attention
C807648169,2017-06-19,1,4175023.44,1,1,1,3,Needs Attention
C732789218,2017-06-19,1,3265446.8,1,1,1,3,Needs Attention
C992512881,2017-06-19,1,1125590.4,1,2,2,5,Needs Attention
C639274537,2017-06-19,1,677247.76,1,3,3,7,Needs Attention
C980351102,2017-06-18,1,4364471.37,1,1,1,3,Needs Attention
C861922776,2017-06-18,1,8938.14,1,5,5,11,Loyal Customers
C940874993,2017-06-18,1,713158.92,1,3,3,7,Needs Attention
C423356282,2017-06-18,1,87580.71,1,5,5,11,Loyal Customers
C311067855,2017-06-18,1,498529.42,1,4,4,9,Loyal Customers
C435636079,2017-06-18,1,829915.28,1,3,3,7,Needs Attention
C101289498,2017-06-17,1,1737428.28,1,2,2,5,Needs Attention
C338146150,2017-06-17,1,587738.9,1,3,3,7,Needs Attention
C791393125,2017-06-17,1,1474990.86,1,2,2,5,Needs Attention
C660685002,2017-06-16,1,18716.17,1,5,5,11,Loyal Customers
C292766177,2017-06-16,1,3173346.33,1,1,1,3,Needs Attention
C446577346,2017-06-16,1,660978.15,1,3,3,7,Needs Attention
C664896285,2017-06-15,1,60094.53,1,5,5,11,Loyal Customers
C577757537,2017-06-15,1,30649.3,1,5,5,11,Loyal Customers
C128957879,2017-06-14,1,91134.96,1,5,5,11,Loyal Customers
C153871524,2017-06-14,1,1909915.66,1,2,2,5,Needs Attention
C187089717,2017-06-14,1,1250392.0,1,2,2,5,Needs Attention
C448978030,2017-06-14,1,294356.7,1,4,4,9,Loyal Customers
C950123679,2017-06-13,1,1045842.55,1,3,3,7,Needs Attention
C621916997,2017-06-12,1,2020541.2,1,2,2,5,Needs Attention
C324645841,2017-06-12,1,3701240.97,1,1,1,3,Needs Attention
C877783429,2017-06-11,1,2916118.38,1,1,1,3,Needs Attention
C460037314,2017-06-11,1,628477.02,1,3,3,7,Needs Attention
C273007953,2017-06-11,1,1228628.5,1,2,2,5,Needs Attention
C973462760,2017-06-11,1,75740.94,1,5,5,11,Loyal Customers
C913402307,2017-06-10,1,534925.6,1,4,4,9,Loyal Customers
C601568686,2017-06-10,1,1315862.9,1,2,2,5,Needs Attention
C711692464,2017-06-10,1,2987166.9,1,1,1,3,Needs Attention
C907144391,2017-06-10,1,1282123.71,1,2,2,5,Needs Attention
C611919867,2017-06-10,1,779867.66,1,3,3,7,Needs Attention
C587124240,2017-06-10,1,302727.9,1,4,4,9,Loyal Customers
C693036735,2017-06-10,1,35687.25,1,5,5,11,Loyal Customers
C202714335,2017-06-09,1,4364471.37,1,1,1,3,Needs Attention
C489516294,2017-06-09,1,70945.32,1,5,5,11,Loyal Customers
C880420148,2017-06-09,1,225007.9,1,4,4,9,Loyal Customers
C593736207,2017-06-08,1,5742444.11,1,1,1,3,Needs Attention
C317167413,2017-06-08,1,53554.2,1,5,5,11,Loyal Customers
C836850774,2017-06-08,1,243517.68,1,4,4,9,Loyal Customers
C749594008,2017-06-08,1,58542.8,1,5,5,11,Loyal Customers
C926272189,2017-06-08,1,520568.74,1,4,4,9,Loyal Customers
C173943459,2017-06-07,1,1092695.1,1,3,3,7,Needs Attention
C261318242,2017-06-07,1,1344943.8,1,2,2,5,Needs Attention
C832993543,2017-06-07,1,23879.3,1,5,5,11,Loyal Customers
C427645242,2017-06-07,1,407358.25,1,4,4,9,Loyal Customers
C849484622,2017-06-07,1,25352.96,1,5,5,11,Loyal Customers
C909781110,2017-06-07,1,156727.35,1,5,5,11,Loyal Customers
C488059747,2017-06-06,1,2776036.2,1,1,1,3,Needs Attention
C959844434,2017-06-06,1,2081297.84,1,2,2,5,Needs Attention
C153359115,2017-06-06,1,186910.5,1,5,5,11,Loyal Customers
C484084498,2017-06-05,1,17571.95,1,5,5,11,Loyal Customers
C415483462,2017-06-05,1,4068707.16,1,1,1,3,Needs Attention
C322086799,2017-06-05,1,307727.2,1,4,4,9,Loyal Customers
C924815642,2017-06-05,1,192474.15,1,5,5,11,Loyal Customers
C482155883,2017-06-05,1,1462799.7,1,2,2,5,Needs Attention
C912535846,2017-06-04,1,1295404.2,1,2,2,5,Needs Attention
C565437400,2017-06-04,1,1109702.16,1,2,2,5,Needs Attention
C773169124,2017-06-04,1,554129.4,1,4,4,9,Loyal Customers
C355541026,2017-06-04,1,875877.45,1,3,3,7,Needs Attention
C723341834,2017-06-04,1,16588.74,1,5,5,11,Loyal Customers
C937449491,2017-06-04,1,418092.99,1,4,4,9,Loyal Customers
C349401128,2017-06-03,1,1861800.57,1,2,2,5,Needs Attention
C226997554,2017-06-02,1,1082070.0,1,3,3,7,Needs Attention
C260333764,2017-06-02,1,1522385.7,1,2,2,5,Needs Attention
C570238769,2017-06-01,1,2184546.42,1,2,2,5,Needs Attention
C886165654,2017-06-01,1,764753.84,1,3,3,7,Needs Attention
C763408029,2017-06-01,1,391699.75,1,4,4,9,Loyal Customers
C950791442,2017-05-31,1,749545.83,1,3,3,7,Needs Attention
C981963002,2017-05-31,1,1488849.81,1,2,2,5,Needs Attention
C468537557,2017-05-31,1,4166516.0,1,1,1,3,Needs Attention
C185828864,2017-05-31,1,1486892.1,1,2,2,5,Needs Attention
C293906009,2017-05-31,1,237574.72,1,4,4,9,Loyal Customers
C736683785,2017-05-31,1,1534129.48,1,2,2,5,Needs Attention
C483218038,2017-05-30,1,2546108.7,1,1,1,3,Needs Attention
C381516826,2017-05-30,1,5315176.02,1,1,1,3,Needs Attention
C980034387,2017-05-30,1,26198.64,1,5,5,11,Loyal Customers
C125886428,2017-05-30,1,966318.42,1,3,3,7,Needs Attention
C957403409,2017-05-29,1,275162.55,1,4,4,9,Loyal Customers
C514625632,2017-05-29,1,1234944.96,1,2,2,5,Needs Attention
C770492064,2017-05-28,1,500393.12,1,4,4,9,Loyal Customers
C109513366,2017-05-28,1,4205423.11,1,1,1,3,Needs Attention
C485972774,2017-05-27,1,3796166.22,1,1,1,3,Needs Attention
C885181176,2017-05-27,1,747925.2,1,3,3,7,Needs Attention
C107702767,2017-05-27,1,54312.16,1,5,5,11,Loyal Customers
C857984864,2017-05-27,1,1440545.04,1,2,2,5,Needs Attention
C914424121,2017-05-26,1,794793.44,1,3,3,7,Needs Attention
C538200747,2017-05-26,1,360919.68,1,4,4,9,Loyal Customers
C371873748,2017-05-26,1,938197.7,1,3,3,7,Needs Attention
C623292863,2017-05-26,1,2213980.8,1,1,1,3,Needs Attention
C316024577,2017-05-25,1,70441.5,1,5,5,11,Loyal Customers
C471882379,2017-05-25,1,1424639.46,1,2,2,5,Needs Attention
C155837476,2017-05-25,1,378164.71,1,4,4,9,Loyal Customers
C253681457,2017-05-25,1,1361120.1,1,2,2,5,Needs Attention
C954254281,2017-05-24,1,2607589.54,1,1,1,3,Needs Attention
C284971034,2017-05-24,1,5424347.59,1,1,1,3,Needs Attention
C781787383,2017-05-24,1,66382.95,1,5,5,11,Loyal Customers
C141629064,2017-05-24,1,3432.66,1,5,5,11,Loyal Customers
C391119563,2017-05-23,1,1513639.5,1,2,2,5,Needs Attention
C763367688,2017-05-23,1,516370.14,1,4,4,9,Loyal Customers
C260293424,2017-05-23,1,596996.64,1,3,3,7,Needs Attention
C304098832,2017-05-22,1,691190.61,1,3,3,7,Needs Attention
C275091922,2017-05-22,1,3119484.36,1,1,1,3,Needs Attention
C813667047,2017-05-21,1,660978.15,1,3,3,7,Needs Attention
C225264632,2017-05-21,1,1488989.9,1,2,2,5,Needs Attention
C433232390,2017-05-21,1,1301121.69,1,2,2,5,Needs Attention
C850978505,2017-05-21,1,21505.65,1,5,5,11,Loyal Customers
C129939353,2017-05-20,1,532611.19,1,4,4,9,Loyal Customers
C371125304,2017-05-20,1,1299421.2,1,2,2,5,Needs Attention
C552132785,2017-05-19,1,589681.95,1,3,3,7,Needs Attention
C932567441,2017-05-18,1,968113.04,1,3,3,7,Needs Attention
C647930133,2017-05-18,1,631638.4,1,3,3,7,Needs Attention
C186496627,2017-05-18,1,4912452.77,1,1,1,3,Needs Attention
C178192079,2017-05-18,1,1503065.58,1,2,2,5,Needs Attention
C246911132,2017-05-17,1,823604.76,1,3,3,7,Needs Attention
C687524259,2017-05-17,1,121519.45,1,5,5,11,Loyal Customers
C184804046,2017-05-16,1,2832618.8,1,1,1,3,Needs Attention
C301303756,2017-05-16,1,205207.92,1,4,4,9,Loyal Customers
C660918033,2017-05-15,1,1004064.64,1,3,3,7,Needs Attention
C717121255,2017-05-15,1,648221.9,1,3,3,7,Needs Attention
C775371110,2017-05-15,1,78344.01,1,5,5,11,Loyal Customers
C463537490,2017-05-15,1,6615204.73,1,1,1,3,Needs Attention
C488569152,2017-05-15,1,4894409.48,1,1,1,3,Needs Attention
C596646296,2017-05-15,1,797112.69,1,3,3,7,Needs Attention
C409616935,2017-05-14,1,742165.6,1,3,3,7,Needs Attention
C284930694,2017-05-14,1,951936.74,1,3,3,7,Needs Attention
C247501218,2017-05-14,1,4356698.0,1,1,1,3,Needs Attention
C979127585,2017-05-14,1,1140080.48,1,2,2,5,Needs Attention
C636358439,2017-05-14,1,637437.6,1,3,3,7,Needs Attention
C987550151,2017-05-14,1,64283.7,1,5,5,11,Loyal Customers
C162527120,2017-05-13,1,1082642.48,1,3,3,7,Needs Attention
C362072312,2017-05-13,1,842958.6,1,3,3,7,Needs Attention
C312245023,2017-05-13,1,994010.88,1,3,3,7,Needs Attention
C416110885,2017-05-13,1,1092884.1,1,3,3,7,Needs Attention
C491087853,2017-05-12,1,291121.92,1,4,4,9,Loyal Customers
C489041221,2017-05-12,1,3069144.0,1,1,1,3,Needs Attention
C630572593,2017-05-11,1,6054950.58,1,1,1,3,Needs Attention
C986093604,2017-05-11,1,2474384.85,1,1,1,3,Needs Attention
C969366490,2017-05-11,1,915270.46,1,3,3,7,Needs Attention
C865618646,2017-05-11,1,3026824.08,1,1,1,3,Needs Attention
C214991128,2017-05-11,1,1450578.06,1,2,2,5,Needs Attention
C333655488,2017-05-10,1,1258019.84,1,2,2,5,Needs Attention
C454248464,2017-05-10,1,696794.7,1,3,3,7,Needs Attention
C574723422,2017-05-10,1,964862.43,1,3,3,7,Needs Attention
C766082084,2017-05-09,1,1967931.9,1,2,2,5,Needs Attention
C279852950,2017-05-09,1,389255.36,1,4,4,9,Loyal Customers
C431617486,2017-05-09,1,1775032.0,1,2,2,5,Needs Attention
C903284156,2017-05-09,1,109382.6,1,5,5,11,Loyal Customers
C805912244,2017-05-08,1,1581970.16,1,2,2,5,Needs Attention
C583382022,2017-05-08,1,1923396.51,1,2,2,5,Needs Attention
C855739533,2017-05-08,1,184717.94,1,5,5,11,Loyal Customers
C144933545,2017-05-08,1,375424.4,1,4,4,9,Loyal Customers
C277924335,2017-05-08,1,1199011.38,1,2,2,5,Needs Attention
C444369351,2017-05-07,1,4962871.41,1,1,1,3,Needs Attention
C889311778,2017-05-07,1,1524532.16,1,2,2,5,Needs Attention
C712633597,2017-05-07,1,758947.44,1,3,3,7,Needs Attention
C122184550,2017-05-07,1,55774.74,1,5,5,11,Loyal Customers
C236519610,2017-05-07,1,171919.44,1,5,5,11,Loyal Customers
C139147698,2017-05-06,1,2514337.2,1,1,1,3,Needs Attention
C122420585,2017-05-06,1,1487261.28,1,2,2,5,Needs Attention
C361441886,2017-05-06,1,357820.45,1,4,4,9,Loyal Customers
C690120637,2017-05-05,1,182455.9,1,5,5,11,Loyal Customers
C101836240,2017-05-05,1,687261.66,1,3,3,7,Needs Attention
C627659499,2017-05-05,1,1106052.42,1,2,2,5,Needs Attention
C594441306,2017-05-05,1,67614.51,1,5,5,11,Loyal Customers
